;turma;idSection;idStudent;idProblem;idAttempt;timeAttempt;isCorrectAnswer;answerCode;hasSkipped;idEvent;number;timeEvent;typeEvent;answerProblemLevelStudent;answerProblemLevelSystem;abuso;p1;p2;p3;p4
0;1;1;1;1;48;70;0;1;1;1;1;28021;2;2;2;0;0;0;0;0
1;1;1;1;1;50;1;0;1;1;5;1;26913;2;2;2;0;0;0;0;0
2;1;1;1;1;57;1;0;1;1;5;1;26903;2;2;1;0;0;0;0;0
3;1;1;1;1;62;1;0;1;1;5;1;26897;2;2;1;0;0;0;0;0
4;1;1;1;1;64;26;0;1;1;5;1;26878;2;2;3;0;0;0;0;0
5;1;1;1;1;70;2;1;1;1;1;1;27421;2;2;1;0;0;0;0;0
6;1;1;1;1;77;4;1;1;1;5;1;26137;2;2;3;0;0;0;0;0
7;1;1;1;1;79;0;1;1;1;9;1;26140;2;2;2;0;0;0;0;0
8;1;1;1;1;81;1;1;1;1;5;1;26128;2;2;5;0;0;0;0;0
9;1;1;1;2;47;3;0;1;1;5;1;26988;2;2;2;0;0;0;0;0
10;1;1;1;2;51;1;0;1;1;9;1;26922;2;2;5;0;0;0;0;0
11;1;1;1;2;58;4;0;1;1;17;1;26985;2;2;4;0;0;0;0;0
12;1;1;1;2;63;18;0;1;1;1;1;27932;2;2;5;0;0;0;0;0
13;1;1;1;4;53;2;0;1;1;13;1;26917;2;2;5;0;0;0;0;0
14;1;1;1;4;55;1;0;1;1;9;1;26915;2;2;2;0;0;0;0;0
15;1;1;1;4;60;1;0;1;1;9;1;26908;2;2;1;0;0;0;0;0
16;1;1;1;4;74;1;1;1;1;17;1;26461;2;2;1;0;0;0;0;0
17;1;1;1;2;65;175;0;1;1;5;1;26855;1;2;2;1;1;1;0;1
18;1;1;1;2;65;175;0;1;1;5;1;26852;2;2;1;1;1;0;1;1
19;1;1;1;2;65;175;0;1;1;8;4;26853;2;2;2;1;0;0;0;1
20;1;1;1;2;66;41;1;1;1;8;4;26678;2;2;4;1;0;1;1;1
21;1;1;1;2;66;41;1;1;1;9;1;26687;2;2;4;1;1;0;0;0
